data;categoria;descricao;valor
10/07/2026;Aluguel;Aluguel do escritório;8500,00
03/07/2026;Software;Assinatura CRM;772,80
04/07/2026;Software;Hospedagem AWS;604,80
05/07/2026;Software;Ferramenta de design;235,20
06/07/2026;Software;Assinatura ERP financeiro;996,80
07/07/2026;Software;Ferramenta de IA para atendimento;694,40
08/07/2026;Software;Plataforma de e-mail marketing;425,60
06/07/2026;Marketing;Anúncios redes sociais;3950,00
08/07/2026;Marketing;Agência de conteúdo;4500,00
10/07/2026;Marketing;Materiais gráficos;780,00
12/07/2026;Marketing;Impulsionamento de posts;1450,00
15/07/2026;Viagens;Passagem aérea - visita a cliente;1690,00
16/07/2026;Viagens;Hospedagem - visita a cliente;620,00
18/07/2026;Impostos;DAS - Simples Nacional;5470,00
24/07/2026;Fornecedores;Matéria-prima - fornecedor A;6560,00
25/07/2026;Fornecedores;Insumos de escritório;480,00
26/07/2026;Fornecedores;Manutenção de equipamentos;620,00
27/07/2026;Fornecedores;Consultoria contábil;1450,00
05/08/2026;Folha;Folha de pagamento - quinzena 1;24475,00
20/08/2026;Folha;Folha de pagamento - quinzena 2;20025,00
08/08/2026;Folha;Vale transporte e refeição;3440,00
10/08/2026;Aluguel;Aluguel do escritório;8900,00
03/08/2026;Software;Assinatura CRM;800,40
04/08/2026;Software;Hospedagem AWS;626,40
05/08/2026;Software;Ferramenta de design;243,60
06/08/2026;Software;Assinatura ERP financeiro;1032,40
07/08/2026;Software;Ferramenta de IA para atendimento;719,20
08/08/2026;Software;Plataforma de e-mail marketing;440,80
09/08/2026;Software;Assistente de IA para o time;1148,40
06/08/2026;Marketing;Anúncios redes sociais;4200,00
08/08/2026;Marketing;Agência de conteúdo;4500,00
10/08/2026;Marketing;Materiais gráficos;780,00
12/08/2026;Marketing;Impulsionamento de posts;1150,00
22/08/2026;Viagens;Feira do setor - inscrição e deslocamento;3200,00
18/08/2026;Impostos;DAS - Simples Nacional;5560,00
19/08/2026;Impostos;ISS sobre serviços;1180,00
24/08/2026;Fornecedores;Matéria-prima - fornecedor A;6680,00
25/08/2026;Fornecedores;Insumos de escritório;480,00
26/08/2026;Fornecedores;Manutenção de equipamentos;620,00
27/08/2026;Fornecedores;Consultoria contábil;1450,00
05/09/2026;Folha;Folha de pagamento - quinzena 1;24475,00
20/09/2026;Folha;Folha de pagamento - quinzena 2;20025,00
08/09/2026;Folha;Vale transporte e refeição;3500,00
10/09/2026;Aluguel;Aluguel do escritório;8900,00
03/09/2026;Software;Assinatura CRM;828,00
04/09/2026;Software;Hospedagem AWS;648,00
05/09/2026;Software;Ferramenta de design;252,00
06/09/2026;Software;Assinatura ERP financeiro;1068,00
07/09/2026;Software;Ferramenta de IA para atendimento;744,00
08/09/2026;Software;Plataforma de e-mail marketing;456,00
09/09/2026;Software;Assistente de IA para o time;1188,00
06/09/2026;Marketing;Anúncios redes sociais;4450,00
08/09/2026;Marketing;Agência de conteúdo;4500,00
10/09/2026;Marketing;Materiais gráficos;780,00
12/09/2026;Marketing;Impulsionamento de posts;1450,00
15/09/2026;Viagens;Passagem aérea - visita a cliente;1850,00
16/09/2026;Viagens;Hospedagem - visita a cliente;620,00
18/09/2026;Impostos;DAS - Simples Nacional;5650,00
24/09/2026;Fornecedores;Matéria-prima - fornecedor A;6800,00
25/09/2026;Fornecedores;Insumos de escritório;480,00
26/09/2026;Fornecedores;Manutenção de equipamentos;620,00
27/09/2026;Fornecedores;Consultoria contábil;1450,00
